14052;32.3;15.6;52.1
14053;31.5;21.4;47.1
14050;43;15.9;41.1
13088;36.2;19.7;44.1
13089;22.5;13.9;63.6
14057;36.8;20;43.2
13086;41.6;21.3;37.1
14055;30.8;17.7;51.5
13409;43.4;20.8;35.8
10777;39.3;20.2;40.5
12559;30.8;20.8;48.4
10779;37.2;19.8;43
13407;40.8;19.7;39.5
12439;37.1;17.1;45.8
13125;38;18.3;43.7
12277;30.9;17.7;51.4
12279;31.5;18.1;50.4
12157;37;21.3;41.7
14059;45.7;18.1;36.2
12557;36.8;21.2;42
13129;30.9;17.3;51.8
12437;35;16.6;48.4
12679;35.8;23;41.2
13405;41.6;20.4;38
12159;34.7;20.1;45.2
13127;42.3;18.6;39.1
12555;35.2;19.5;45.3
12435;37.7;25.7;36.6
13403;39.1;19.5;41.4
12161;36;20.3;43.7
12681;46.3;15.6;38.1
12163;36.9;20;43.1
12165;36.6;19.4;44
12043;45.9;23.7;30.4
10789;39.4;18.6;42
12207;35;19.7;45.3
12209;32.6;18.6;48.8
10823;40.7;21;38.3
10825;39.3;20.8;39.9
10707;38.9;19.1;42
10827;38.1;21;40.9
12685;33.8;23.6;42.6
12167;36.1;20.6;43.3
10781;38.8;21.9;39.3
12045;45.8;22.7;31.5
12683;30.2;18.3;51.5
12169;36.4;20.8;42.8
10783;39;21.7;39.3
12047;45.8;23.5;30.7
12689;55.6;18.8;25.6
10785;46.6;21.7;31.7
14109;33.5;19.8;46.7
12203;35.3;19;45.7
12049;44.5;24.5;31
12687;34.6;21;44.4
10787;42;19.6;38.4
12205;34.2;18.7;47.1
13583;39;18.2;42.8
13187;42;20.5;37.5
12099;40.6;21.1;38.3
13581;38.3;18.6;43.1
13507;41;19.3;39.7
10117;48;19.4;32.6
13629;47.2;16;36.8
10997;39.7;22.8;37.5
13505;40.4;17;42.6
13627;47;14.6;38.4
10999;37.2;23.8;39
10119;48.3;23.1;28.6
13509;35.9;19.2;44.9
13587;40.5;20.8;38.7
13467;27.8;15.5;56.7
13189;43.9;21.4;34.7
13585;44.9;19.4;35.7
13465;28.7;15.2;56.1
13503;47.1;16.9;36
13349;41.8;22.1;36.1
13589;37.5;18.8;43.7
13347;45.9;22.6;31.5
10115;52.7;22.4;24.9
13469;34.3;17.5;48.2
13591;31.5;20.7;47.8
14163;30.1;18.9;51
14167;35.5;18.9;45.6
13353;48;20.6;31.4
13595;32;17.8;50.2
13593;35.3;19.2;45.5
14165;33.6;16.8;49.6
13351;42.4;22.5;35.1
12307;32.5;17.7;49.8
10249;49.8;21.1;29.1
12309;31.4;17.9;50.7
10405;42.8;21.7;35.5
10407;42.5;19.7;37.8
10409;40.2;18.9;40.9
13599;51.4;18;30.6
13357;43.4;23.5;33.1
10365;50.3;16.5;33.2
13597;38.5;20;41.5
10243;51.2;21.7;27.1
14169;32.2;20.6;47.2
13355;38;25.4;36.6
10367;50.4;18.7;30.9
10245;51.1;23.7;25.2
10369;38.4;19.4;42.2
12305;30.9;17.2;51.9
13359;45.7;22.3;32
10247;58;22;20
12351;30.9;18.2;50.9
12355;29.9;18;52.1
12353;29.3;18;52.7
10178;41.6;19;39.4
12359;32.1;18.6;49.3
10179;41;18.8;40.2
12357;27.9;16.3;55.8
13051;32.1;17.1;50.8
13055;35.2;21;43.8
13053;40.2;19.3;40.5
10623;40.5;20.1;39.4
12526;32.1;15.3;52.6
12527;27.6;16.4;56
10625;40.2;20.4;39.4
10627;38.8;20.2;41
10629;39.1;19.3;41.6
12487;42.2;16.5;41.3
13059;35.4;15.8;48.8
13057;48.2;19;32.8
10585;39.4;21;39.6
12524;33;19.1;47.9
10587;40.8;21.3;37.9
12247;35.5;19.5;45
12489;50.6;16.6;32.8
10589;41;21.3;37.7
12249;34.1;18;47.9
14195;34.9;21.5;43.6
12051;45.5;24.3;30.2
14193;36.8;19.8;43.4
14199;37.7;18.8;43.5
12053;44.8;24.1;31.1
14197;37.2;20.1;42.7
12055;51.2;21.9;26.9
10709;38.4;19;42.6
10829;37.9;22.6;39.5
10437;49.9;22.2;27.9
10711;37.1;15.4;47.5
10557;41.7;21.5;36.8
10315;45.1;18.5;36.4
10318;41.9;23.5;34.6
10439;48.1;21.9;30
10317;43.4;23.3;33.3
10713;38.7;19.3;42
10559;46.2;21.1;32.7
10319;38.6;20.5;40.9
10715;38.1;19.6;42.3
12619;39.2;19.3;41.5
10717;38.1;19.3;42.6
12057;46.7;22.8;30.5
12059;48.7;22.1;29.2
10551;47.5;21.9;30.6
12459;43.5;20.2;36.3
10553;49.6;22;28.4
10435;50;23.4;26.6
10555;44.8;21.5;33.7
14089;32.9;14.9;52.2
10719;38.9;18.5;42.6
12627;43.4;21.9;34.7
10965;41.5;22.7;35.8
12109;34.8;19.3;45.9
10967;43.3;23.6;33.1
13439;40.5;19.7;39.8
10969;38.3;21.8;39.9
12629;44.1;21.4;34.5
13158;38.9;18.5;42.6
12101;38.3;20.5;41.2
12587;34.8;19.2;46
13159;47.6;9.2;43.2
13156;39.3;20.1;40.6
12103;37.9;21.8;40.3
12623;25;17.5;57.5
13437;35.1;18.5;46.4
12105;36.3;20.6;43.1
10961;42.9;21.7;35.4
12349;33.2;18.6;48.2
12107;32.2;17.9;49.9
12621;27.7;18.6;53.7
13435;37.1;19.2;43.7
10963;46.5;23.9;29.6
14129;30.5;20.4;49.1
12589;26;18.1;55.9
12347;39.9;20.8;39.3
