10997;1.57;
10709;1.09;
10999;1.57;
13355;2.03;
13357;1.81;
10405;1.72;
13359;1.67;
10407;2.7;
10409;1.52;
12524;8.24;
13351;2.9;
13353;2.77;
10711;0.99;
10823;0.58;
10713;1.21;
10825;0.74;
12526;6.2;
10715;1.13;
12527;29.02;
12099;4.28;
10827;0.7;
10717;0.83;
12487;6.27;
13158;7.11;
13159;12.13;
10719;0.86;
13156;5.72;
12489;5.56;
12349;6.67;
14109;25.3;
12347;3.67;
13349;1.64;
13059;6.25;
13347;1.52;
13057;4.36;
10629;0.75;
13055;3.0;
10627;0.62;
13053;6.6;
10625;0.58;
13051;6.28;
10623;1.21;
12687;1.68;
12689;2.85;
12459;8.1;
12683;13.49;
12685;3.65;
12353;3.11;
12355;7.81;
12357;4.64;
12359;4.29;
10117;3.16;
13439;1.97;
13407;4.28;
10119;1.03;
13409;2.46;
12351;3.45;
10178;1.84;
12681;9.17;
13435;2.12;
13403;4.02;
10115;2.35;
10179;2.04;
13437;4.1;
13405;6.87;
14089;23.7;
12679;2.64;
14163;8.76;
12103;2.27;
12101;5.05;
14167;5.27;
12107;5;
12105;2.76;
14165;3.53;
12043;0.67;
10315;3.91;
12249;3.87;
12247;3.29;
10317;4.61;
12109;2.96;
10318;7.02;
10319;3.5;
12049;0.92;
12047;0.48;
12045;0.64;
14169;3.32;
10243;2.92;
12627;3.95;
13591;8.36;
13593;5.95;
12629;1.6;
10247;1.85;
13627;4.32;
13595;5.14;
10245;3.43;
13629;6.55;
12159;0.94;
12059;1.22;
13189;2.49;
12057;3.26;
10249;2.24;
12621;9.09;
12623;13.54;
12157;2.46;
12051;1.59;
12207;5.82;
10589;1.69;
12305;3.92;
12209;3.12;
10587;1.6;
12055;0.78;
10585;0.9;
12053;1.1;
13187;3.17;
13086;3.54;
13597;4.59;
13088;6.61;
13599;7.68;
13089;4.11;
12307;3.75;
12203;2.94;
12309;2.58;
12205;2.91;
10963;1.73;
13583;2.27;
10961;1.25;
14059;2.43;
12619;2.59;
13581;4;
10967;1.01;
10965;2.9;
12169;2.24;
12167;1.72;
10969;2.02;
12165;0.72;
10437;1.58;
10439;1.66;
12163;1.43;
12161;0.98;
12559;32.46;
14057;1.28;
13587;17.17;
12557;8.1;
13585;2.67;
14055;8.27;
12555;9.14;
12589;19.55;
14053;2.5;
14052;2.81;
12587;16.68;
13589;7.55;
10435;0.87;
14050;3.08;
13503;15.41;
12277;7.76;
12279;1.6;
10707;0.78;
10365;4.86;
13509;4.62;
10369;1.52;
13505;10.53;
10367;1.51;
13507;10.07;
10777;0.73;
10779;0.52;
10829;2.49;
13129;7.29;
13127;12.5;
13125;26.66;
12437;6.31;
13467;6.95;
10551;0.97;
12435;3.75;
13465;8.21;
10553;1.44;
10555;0.97;
10789;0.42;
14129;11.2;
13469;7.84;
10557;3.97;
10787;1.42;
14199;2.46;
10559;1.09;
10785;2.69;
14197;1.44;
14195;7.83;
10783;0.7;
12439;3.67;
10781;0.74;
14193;29.67;
