10315;67.7;32.3;0;42.6
10318;5.4;73.2;20.6;20.9
10439;56.9;42.9;0;31.8
10317;47.2;43;9.2;26.2
10713;0;17;83;41.4
10559;69.9;30;0;44
10319;50.5;49.4;0;34.5
10715;0;1.9;98.1;32.7
12619;0;93.5;6.4;2.1
10717;0;1;99;28.7
12057;90.7;9.3;0;29.4
12059;92.2;7.7;0;21.4
10551;88.4;11.6;0;48.6
12459;35.7;62.5;0;29.7
10553;87.5;12.1;0.4;57
10435;39.7;49.7;10.5;29.2
10555;42.5;37.1;20.4;50.3
14089;0;95.8;3.2;5.8
10719;0;0;100;36.6
12627;0.1;96.2;3.6;11.8
10965;75.5;21;3.4;42.9
12109;37.4;62.5;0;27.6
10967;92.1;7.9;0;50.1
13439;80.6;19.3;0;21.8
10969;57.7;41.7;0;36.7
12629;0.3;99.6;0;14.5
13158;28.1;5;66.1;21.4
12101;51.4;33.3;15.1;26.6
12587;3.6;78.9;16.2;36.8
13159;99.6;0;0;7.6
13156;29.3;19.1;50.9;32.8
12103;24.2;75.8;0;18.7
12623;61.9;32.2;5.4;11.4
13437;46.7;53.2;0;26
12105;22.4;77.6;0;28.8
10961;70.8;29.1;0;41.3
12349;79.9;20.1;0;17.1
12107;50;49.9;0;21.7
12621;45.2;32.3;22;9.3
13435;66.9;33.1;0;21.8
10963;57.5;23.3;19.3;37.2
14129;0;15.5;84.5;14.9
12589;1.1;60.2;38;10
12347;83.6;16.4;0;25.3
average;39.3;39.4;20.9;29.3
