14052;34.3;8.6;56.7;43
14053;38.2;0;60.1;8.2
14050;7.9;25.2;66.9;43.7
13088;6.7;88;4.9;23.5
13089;1.3;97.5;0;12.3
14057;0.6;26.2;73;48.9
13086;21.3;72.8;5.6;30.4
14055;20.9;7.1;71.7;36.2
13409;93.3;6.7;0;49.7
10777;6.7;9.4;83.9;31.1
12559;6.6;92.7;0.2;17.7
10779;0;11.7;88.3;26.1
13407;78.7;21.2;0;45.2
12439;42.8;57.1;0;33.2
13125;51.1;47.4;0;35.4
12277;42.8;52.3;4.7;17
12279;30.8;60.5;8.5;12.8
12157;14.4;82.5;3.1;28.9
14059;6.3;77.9;15.8;41
12557;15.4;64;20.2;30.5
13129;32.3;65.1;1.6;23.5
12437;32.4;67.3;0;35.5
12679;17.8;82.2;0;20
13405;86.8;13.2;0;47.8
12159;1.8;8.5;89.8;36.2
13127;49.9;37.1;11.1;32.8
12555;27;72.3;0;33.2
12435;34.3;65.6;0;30.8
13403;81;18.9;0;39
12161;0.9;30.3;68.8;35.6
12681;61.5;37.5;0;22.9
12163;0;38.9;61;32.7
12165;0;37.5;62.3;33.5
12043;100;0;0;38.2
10789;0;0;100;36.7
12207;23.1;49.1;27.8;24.9
12209;19.8;62;18.2;12.5
10823;15.3;48;36.7;31.5
10825;11.5;23.2;65.3;35
10707;0;16.9;83.1;40
10827;22.7;36.6;40.7;36
12685;38.8;61.1;0;14
12167;2.1;80.2;17.6;32.4
10781;10;41.6;48.4;28.1
12045;100;0;0;25.2
12683;63.8;35.1;0;24.8
12169;4;78.2;17.7;34.2
10783;32;35.7;32.3;31.1
12047;100;0;0;43.1
12689;100;0;0;4.4
10785;37.2;22.2;39.6;38.1
14109;0;18.5;81.5;17.1
12203;0;23.2;76.8;34.3
12049;100;0;0;43.6
12687;56.1;43.5;0;6.3
10787;10.2;5.7;82.6;43
12205;0;12.5;87.5;24
13583;57.4;42.6;0;22.3
13187;38.7;42.7;18.4;31.6
12099;53.2;42.5;4.3;31.5
13581;93.9;6;0;22.6
13507;14.4;69.9;15.7;26.2
10117;11.6;37.6;50.3;42.4
13629;64.5;35.4;0;38.8
10997;98.7;1.3;0;26.4
13505;14.5;65;20.3;16.7
13627;57.9;42.1;0;42.5
10999;96.3;3.6;0;29.3
10119;34.8;48.9;16.2;36.2
13509;39.4;51.5;9.2;27.3
13587;41.9;58.1;0;27.4
13467;0.2;34.3;65.5;12.8
13189;43.1;54;2.6;30.9
13585;71.5;28.5;0;27.3
13465;0.1;22.1;77.9;8
13503;28.7;57.8;13.2;22.7
13349;83.5;16.6;0;39.1
13589;39.7;60.2;0;18
13347;91.8;8.2;0;38
10115;48.9;40.4;10.4;34.2
13469;0.9;99.1;0;14.2
13591;79.2;20.3;0;16.3
14163;0;27.4;72.5;19
14167;7.6;52.8;39.6;20.8
13353;96.7;3.3;0;41
